dateRep,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia_and_Herzegovina,Botswana,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Burundi,Cambodia,Cameroon,Canada,Cape_Verde,Cases_on_an_international_conveyance_Japan,Cayman_Islands,Central_African_Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa_Rica,Cote_dIvoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland_Islands_(Malvinas),Faroe_Islands,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea_Bissau,Guyana,Haiti,Holy_See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,North_Macedonia,Northern_Mariana_Islands,Norway,Oman,Pakistan,Palestine,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Vincent_and_the_Grenadines,San_Marino,Sao_Tome_and_Principe,Saudi_Arabia,Senegal,Serbia,Seychelles,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Somalia,South_Africa,South_Korea,South_Sudan,Spain,Sri_Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor_Leste,Togo,Trinidad_and_Tobago,Tunisia,Turkey,Turks_and_Caicos_islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_Republic_of_Tanzania,United_States_Virgin_Islands,United_States_of_America,Uruguay,Uzbekistan,Venezuela,Vietnam,Western_Sahara,Yemen,Zambia,Zimbabwe
01/01/2020,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,
01/02/2020,0.0,,0.0,,,,,,0.0,,2.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,1.0,,0.0,,,,,2095.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,2.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,2.0,,,,,0.0,,,,,,,3.0,,,,,,5.0,,1.0,0.0,,,1.0,0.0,,1.0,,5.0,,,,,,,,,0.0,2.0,,,1.0,,,,0.0,,,,
01/03/2020,0.0,,2.0,,,,,,1.0,,1.0,3.0,0.0,,3.0,,,0.0,0.0,,,,,,,,,1.0,,,,,,0.0,,4.0,,0.0,,,,,574.0,,,,,,0.0,,,,0.0,,1.0,,,0.0,1.0,0.0,,,,0.0,,,,,,0.0,43.0,,,,1.0,54.0,,,3.0,,,,,,,,,,,,,0.0,0.0,0.0,205.0,6.0,1.0,,0.0,240.0,,9.0,,,,,,0.0,,,,1.0,,,,,0.0,1.0,,,0.0,,,,,,2.0,,0.0,,,,,,,,0.0,5.0,,0.0,,,0.0,0.0,,9.0,0.0,2.0,,,,,,0.0,,,,1.0,0.0,0.0,,,,,0.0,,,,,,,4.0,,,,,,595.0,,28.0,0.0,,,3.0,6.0,,1.0,,0.0,,,,,,,,,0.0,12.0,,,3.0,,,,0.0,,,,
01/04/2020,25.0,20.0,132.0,6.0,0.0,0.0,0.0,0.0,39.0,5.0,150.0,564.0,25.0,1.0,52.0,2.0,0.0,47.0,1681.0,0.0,2.0,5.0,0.0,8.0,,60.0,3.0,1138.0,0.0,2.0,40.0,24.0,2.0,0.0,51.0,1112.0,1.0,,2.0,0.0,0.0,289.0,54.0,108.0,,3.0,17.0,0.0,77.0,16.0,2.0,32.0,306.0,0.0,283.0,5.0,0.0,208.0,336.0,47.0,0.0,1.0,3.0,30.0,0.0,2.0,,1.0,0.0,71.0,7578.0,1.0,9.0,0.0,12.0,5453.0,0.0,0.0,102.0,0.0,0.0,9.0,2.0,15.0,0.0,6.0,4.0,0.0,0.0,31.0,33.0,49.0,146.0,114.0,3111.0,64.0,325.0,10.0,443.0,4053.0,0.0,0.0,18.0,6.0,15.0,9.0,7.0,23.0,23.0,0.0,22.0,17.0,,0.0,2.0,4.0,49.0,190.0,2.0,,140.0,1.0,0.0,13.0,0.0,15.0,121.0,55.0,1.0,0.0,18.0,,61.0,0.0,1.0,0.0,0.0,845.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,221.0,13.0,414.0,2.0,106.0,0.0,4.0,115.0,0.0,256.0,1035.0,65.0,88.0,293.0,501.0,5.0,1.0,4.0,0.0,1.0,,110.0,13.0,115.0,0.0,1.0,35.0,3.0,27.0,51.0,0.0,27.0,0.0,,7413.0,2.0,1.0,2.0,475.0,696.0,0.0,16.0,,0.0,0.0,0.0,2.0,50.0,2704.0,0.0,11.0,69.0,53.0,4273.0,0.0,0.0,24998.0,6.0,24.0,0.0,6.0,,,0.0,1.0
01/05/2020,222.0,7.0,158.0,2.0,0.0,0.0,0.0,143.0,82.0,0.0,16.0,60.0,38.0,1.0,119.0,564.0,1.0,846.0,586.0,0.0,15.0,3.0,0.0,57.0,0.0,68.0,0.0,7218.0,0.0,0.0,59.0,4.0,0.0,0.0,0.0,1649.0,8.0,,0.0,0.0,21.0,1138.0,12.0,296.0,,0.0,6.0,37.0,14.0,34.0,0.0,7.0,103.0,72.0,150.0,12.0,0.0,320.0,259.0,269.0,47.0,0.0,0.0,23.0,9.0,1.0,0.0,0.0,0.0,89.0,1139.0,0.0,0.0,1.0,22.0,1639.0,403.0,3.0,15.0,0.0,0.0,1.0,14.0,0.0,144.0,128.0,4.0,5.0,1.0,33.0,88.0,0.0,1993.0,347.0,983.0,82.0,359.0,2.0,112.0,1872.0,26.0,193.0,0.0,2.0,299.0,12.0,12.0,284.0,0.0,0.0,9.0,4.0,,0.0,0.0,0.0,10.0,15.0,4.0,1.0,57.0,191.0,8.0,2.0,1.0,0.0,1425.0,126.0,0.0,0.0,0.0,0.0,102.0,0.0,1.0,0.0,0.0,514.0,0.0,3.0,0.0,6.0,204.0,23.0,0.0,43.0,74.0,1058.0,0.0,154.0,0.0,17.0,3045.0,276.0,237.0,295.0,106.0,845.0,262.0,7099.0,18.0,0.0,0.0,0.0,6.0,2.0,1351.0,51.0,285.0,0.0,8.0,528.0,0.0,5.0,11.0,19.0,297.0,9.0,1.0,1387.0,16.0,67.0,0.0,635.0,179.0,0.0,0.0,15.0,6.0,0.0,7.0,0.0,14.0,2615.0,0.0,2.0,540.0,552.0,5442.0,0.0,0.0,29917.0,13.0,44.0,2.0,0.0,0.0,0.0,9.0,0.0
01/06/2020,680.0,15.0,127.0,0.0,2.0,0.0,0.0,637.0,210.0,0.0,10.0,4.0,248.0,0.0,605.0,2545.0,0.0,898.0,49.0,0.0,0.0,0.0,0.0,390.0,0.0,16.0,3.0,16409.0,0.0,0.0,0.0,28.0,21.0,0.0,0.0,757.0,14.0,,0.0,49.0,19.0,4830.0,19.0,1147.0,0.0,24.0,9.0,34.0,0.0,20.0,0.0,1.0,43.0,83.0,36.0,160.0,0.0,377.0,527.0,1536.0,0.0,0.0,0.0,4.0,2.0,109.0,0.0,0.0,0.0,33.0,257.0,0.0,0.0,0.0,26.0,333.0,302.0,8.0,2.0,0.0,0.0,2.0,348.0,0.0,65.0,66.0,1.0,259.0,0.0,108.0,9.0,0.0,8392.0,700.0,2516.0,260.0,61.0,0.0,59.0,355.0,5.0,33.0,0.0,5.0,450.0,74.0,13.0,851.0,69.0,0.0,1.0,29.0,0.0,8.0,26.0,0.0,5.0,2.0,13.0,5.0,57.0,101.0,15.0,0.0,47.0,0.0,3152.0,153.0,0.0,6.0,0.0,0.0,27.0,10.0,4.0,1.0,171.0,185.0,0.0,0.0,0.0,2.0,307.0,62.0,0.0,0.0,1014.0,2964.0,1.0,445.0,0.0,22.0,8805.0,862.0,215.0,297.0,58.0,1648.0,124.0,9268.0,11.0,0.0,0.0,0.0,0.0,4.0,1877.0,110.0,31.0,0.0,9.0,518.0,0.0,1.0,0.0,60.0,1716.0,35.0,0.0,209.0,13.0,226.0,9.0,265.0,17.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,839.0,0.0,45.0,468.0,661.0,1125.0,0.0,0.0,19807.0,2.0,108.0,51.0,1.0,0.0,13.0,0.0,4.0
01/07/2020,279.0,69.0,336.0,0.0,8.0,0.0,0.0,2262.0,523.0,0.0,67.0,111.0,556.0,0.0,519.0,3682.0,0.0,328.0,100.0,4.0,12.0,0.0,0.0,1094.0,0.0,110.0,52.0,33846.0,0.0,0.0,158.0,3.0,0.0,0.0,0.0,286.0,62.0,,1.0,132.0,0.0,3394.0,5.0,2803.0,31.0,0.0,190.0,285.0,52.0,1.0,1.0,2.0,149.0,99.0,17.0,26.0,0.0,752.0,767.0,1557.0,265.0,0.0,12.0,2.0,17.0,0.0,0.0,0.0,0.0,5.0,541.0,0.0,0.0,0.0,0.0,466.0,390.0,0.0,19.0,0.0,0.0,10.0,687.0,0.0,40.0,40.0,10.0,42.0,0.0,740.0,10.0,2.0,18653.0,1293.0,2457.0,1958.0,11.0,0.0,803.0,142.0,4.0,130.0,0.0,4.0,19246.0,176.0,79.0,671.0,439.0,0.0,1.0,33.0,0.0,10.0,62.0,0.0,1.0,43.0,76.0,41.0,2.0,25.0,8.0,0.0,0.0,0.0,5432.0,256.0,0.0,0.0,47.0,0.0,243.0,6.0,0.0,7.0,316.0,50.0,0.0,0.0,349.0,0.0,561.0,126.0,0.0,10.0,1010.0,4133.0,322.0,765.0,0.0,30.0,2848.0,1076.0,239.0,229.0,215.0,982.0,388.0,6693.0,24.0,0.0,0.0,0.0,0.0,1.0,4387.0,95.0,276.0,0.0,12.0,246.0,0.0,2.0,15.0,20.0,6945.0,50.0,0.0,388.0,5.0,0.0,16.0,803.0,62.0,10.0,0.0,54.0,2.0,0.0,7.0,4.0,2.0,1293.0,0.0,19.0,706.0,421.0,730.0,0.0,0.0,43880.0,4.0,329.0,302.0,0.0,172.0,30.0,26.0,17.0
01/08/2020,168.0,79.0,563.0,3.0,31.0,0.0,0.0,6377.0,291.0,1.0,602.0,89.0,318.0,66.0,227.0,2772.0,0.0,143.0,684.0,0.0,35.0,0.0,0.0,1555.0,0.0,0.0,0.0,52383.0,0.0,0.0,270.0,26.0,4.0,5.0,0.0,513.0,78.0,,0.0,3.0,1.0,2131.0,166.0,9488.0,4.0,0.0,530.0,69.0,67.0,11.0,0.0,30.0,232.0,60.0,64.0,0.0,0.0,1734.0,985.0,321.0,402.0,0.0,0.0,13.0,71.0,915.0,0.0,5.0,0.0,9.0,1346.0,0.0,0.0,95.0,8.0,955.0,359.0,0.0,76.0,0.0,0.0,3.0,963.0,0.0,66.0,0.0,12.0,12.0,0.0,976.0,0.0,13.0,57118.0,2040.0,2674.0,3346.0,38.0,0.0,591.0,379.0,0.0,598.0,0.0,2.0,1289.0,723.0,226.0,428.0,494.0,0.0,3.0,221.0,0.0,5.0,0.0,0.0,13.0,79.0,120.0,97.0,12.0,74.0,13.0,9.0,25.0,0.0,8458.0,786.0,0.0,0.0,39.0,0.0,1063.0,56.0,0.0,77.0,224.0,338.0,0.0,2.0,0.0,0.0,462.0,139.0,0.0,36.0,0.0,0.0,394.0,1065.0,0.0,131.0,7243.0,3980.0,657.0,204.0,209.0,235.0,1295.0,5482.0,28.0,0.0,0.0,2.0,0.0,1.0,1686.0,126.0,339.0,0.0,0.0,396.0,0.0,27.0,26.0,0.0,11014.0,31.0,0.0,0.0,1.0,148.0,56.0,258.0,137.0,0.0,7.0,43.0,2.0,0.0,14.0,5.0,21.0,982.0,3.0,7.0,1090.0,0.0,880.0,0.0,21.0,67023.0,21.0,746.0,715.0,49.0,0.0,2.0,408.0,77.0
01/09/2020,34.0,133.0,348.0,52.0,0.0,0.0,0.0,7187.0,31.0,9.0,76.0,186.0,126.0,50.0,0.0,2174.0,1.0,156.0,634.0,13.0,0.0,3.0,1.0,630.0,0.0,175.0,91.0,45961.0,10.0,0.0,76.0,2.0,0.0,0.0,0.0,1008.0,32.0,,0.0,11.0,1.0,1752.0,19.0,7230.0,0.0,0.0,1588.0,119.0,146.0,59.0,11.0,1.0,251.0,52.0,285.0,2.0,0.0,474.0,119.0,212.0,91.0,0.0,0.0,2.0,16.0,1009.0,0.0,0.0,0.0,9.0,3082.0,107.0,28.0,0.0,0.0,1218.0,93.0,0.0,183.0,0.0,0.0,48.0,162.0,0.0,38.0,0.0,72.0,15.0,0.0,840.0,178.0,2.0,69921.0,2743.0,1642.0,3757.0,51.0,0.0,3010.0,996.0,0.0,527.0,0.0,68.0,923.0,144.0,120.0,473.0,60.0,0.0,3.0,438.0,19.0,0.0,543.0,0.0,32.0,52.0,20.0,30.0,6.0,141.0,3.0,21.0,26.0,10.0,3719.0,220.0,7.0,3.0,45.0,0.0,1191.0,95.0,100.0,185.0,899.0,525.0,0.0,14.0,0.0,0.0,143.0,403.0,0.0,101.0,178.0,300.0,806.0,917.0,0.0,467.0,4871.0,3423.0,502.0,244.0,351.0,203.0,755.0,4993.0,43.0,0.0,0.0,0.0,5.0,0.0,951.0,55.0,41.0,0.0,4.0,41.0,13.0,41.0,27.0,0.0,1985.0,235.0,8.0,8115.0,37.0,0.0,25.0,162.0,163.0,62.0,0.0,33.0,5.0,0.0,4.0,76.0,118.0,1587.0,1.0,44.0,2141.0,541.0,1406.0,0.0,5.0,33850.0,10.0,343.0,0.0,4.0,0.0,5.0,72.0,85.0
02/01/2020,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,
