dateRep,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia_and_Herzegovina,Botswana,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Burundi,Cambodia,Cameroon,Canada,Cape_Verde,Cases_on_an_international_conveyance_Japan,Cayman_Islands,Central_African_Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa_Rica,Cote_dIvoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland_Islands_(Malvinas),Faroe_Islands,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea_Bissau,Guyana,Haiti,Holy_See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,North_Macedonia,Northern_Mariana_Islands,Norway,Oman,Pakistan,Palestine,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Vincent_and_the_Grenadines,San_Marino,Sao_Tome_and_Principe,Saudi_Arabia,Senegal,Serbia,Seychelles,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Somalia,South_Africa,South_Korea,South_Sudan,Spain,Sri_Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor_Leste,Togo,Trinidad_and_Tobago,Tunisia,Turkey,Turks_and_Caicos_islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_Republic_of_Tanzania,United_States_Virgin_Islands,United_States_of_America,Uruguay,Uzbekistan,Venezuela,Vietnam,Western_Sahara,Yemen,Zambia,Zimbabwe
01/01/2020,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,
01/02/2020,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,46.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,
01/03/2020,0.0,,0.0,,,,,,0.0,,1.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,35.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,9.0,0.0,0.0,,0.0,8.0,,2.0,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,,1.0,,0.0,0.0,,,0.0,0.0,,0.0,,1.0,,,,,,,,,0.0,0.0,,,1.0,,,,0.0,,,,
01/04/2020,0.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,1.0,,4.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,,0.0,0.0,0.0,4.0,1.0,2.0,,2.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,13.0,0.0,0.0,9.0,17.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,4.0,499.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,3.0,14.0,141.0,4.0,17.0,0.0,3.0,839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,,6.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,3.0,0.0,1.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,8.0,0.0,4.0,0.0,0.0,6.0,0.0,2.0,20.0,2.0,1.0,25.0,7.0,0.0,0.0,0.0,0.0,1.0,,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,849.0,1.0,0.0,0.0,48.0,78.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,2.0,1.0,403.0,0.0,0.0,909.0,0.0,0.0,0.0,0.0,,,0.0,0.0
01/05/2020,4.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,5.0,0.0,5.0,87.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,435.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,188.0,0.0,,0.0,0.0,3.0,11.0,0.0,15.0,,0.0,0.0,0.0,2.0,3.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,8.0,17.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,289.0,0.0,0.0,0.0,0.0,193.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,11.0,0.0,73.0,8.0,71.0,1.0,42.0,0.0,7.0,285.0,1.0,17.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,127.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,2.0,1.0,39.0,2.0,10.0,0.0,1.0,108.0,10.0,20.0,18.0,6.0,0.0,42.0,101.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,281.0,0.0,3.0,0.0,78.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,93.0,0.0,0.0,11.0,7.0,634.0,0.0,0.0,2040.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
01/06/2020,8.0,0.0,7.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,40.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,,0.0,1.0,0.0,57.0,0.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,4.0,24.0,46.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,31.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,2.0,0.0,230.0,40.0,63.0,10.0,0.0,0.0,1.0,75.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,151.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,5.0,60.0,0.0,6.0,0.0,0.0,135.0,7.0,3.0,14.0,3.0,2.0,9.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,40.0,1.0,0.0,0.0,0.0,24.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,12.0,2.0,60.0,0.0,0.0,602.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
01/07/2020,13.0,4.0,7.0,0.0,2.0,0.0,0.0,27.0,10.0,0.0,0.0,2.0,7.0,0.0,3.0,64.0,0.0,5.0,8.0,0.0,2.0,0.0,0.0,52.0,0.0,2.0,0.0,1280.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,25.0,3.0,,0.0,0.0,0.0,113.0,0.0,111.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,14.0,25.0,81.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,2.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,507.0,71.0,147.0,104.0,1.0,0.0,1.0,23.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,648.0,9.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,17.0,4.0,0.0,1.0,7.0,91.0,1.0,11.0,0.0,1.0,173.0,11.0,19.0,8.0,0.0,0.0,17.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,8.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,12.0,1.0,53.0,0.0,0.0,1270.0,0.0,2.0,3.0,0.0,0.0,8.0,2.0,0.0
01/08/2020,12.0,3.0,10.0,0.0,3.0,0.0,0.0,155.0,11.0,0.0,7.0,0.0,7.0,0.0,1.0,28.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,83.0,0.0,0.0,0.0,1212.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,0.0,0.0,80.0,2.0,295.0,0.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,45.0,31.0,9.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,764.0,73.0,197.0,70.0,0.0,0.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,16.0,15.0,2.0,19.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,688.0,7.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,2.0,196.0,40.0,7.0,8.0,5.0,3.0,39.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,1.0,20.0,0.0,20.0,0.0,0.0,1244.0,0.0,6.0,6.0,3.0,0.0,6.0,2.0,14.0
01/09/2020,4.0,4.0,9.0,0.0,0.0,0.0,0.0,97.0,2.0,0.0,41.0,0.0,3.0,1.0,1.0,33.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,61.0,0.0,17.0,0.0,553.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,,0.0,1.0,0.0,45.0,1.0,299.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,1.0,22.0,7.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,1.0,0.0,759.0,74.0,109.0,83.0,0.0,0.0,20.0,6.0,0.0,17.0,0.0,0.0,34.0,3.0,9.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,256.0,3.0,0.0,0.0,2.0,0.0,30.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,4.0,7.0,7.0,0.0,18.0,156.0,43.0,6.0,3.0,0.0,0.0,43.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,58.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,44.0,1.0,2.0,30.0,2.0,2.0,0.0,1.0,529.0,0.0,5.0,0.0,2.0,0.0,2.0,1.0,6.0
02/01/2020,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,
02/02/2020,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,45.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,1.0,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,
